id_trim,Make,Model,Serie,Trim,Engine model,Potencia [cm3],Engine power [bhp],Torque [Nm],Engine type,Number of cylinders,Fuel,Engine power at rpm [min-1],Torque at rpm [min-1],Arrangement of cylinders,Environmental standard,Pressurization,Compression ratio,If the rpm with rpm [min-1],Transmission type,Amount of gear,Model transmission,Wheel arrangement,Drive wheels,Fuel tank capacity [litre],Diam`etre de braquage [m],"Angle me to ove. lift, not less [%]",Maximum speed [km/h],Fuel consumption [l/100 km],Gross vehicle weight [kg],Total train weight [kg],Full trailer weight [kg],Tyre dimension,Load on fifth wheel [kg],The load on the front axle [kg],The load on the rear axle (trolley) [kg],"Rims, the dimension",Curb vehicle weight [kg],Cab type,Length of the tractor [mm],Tractor width [mm],Wheelbase [mm],Height of the tractor [mm],Ground clearance [mm],Front track [mm],Rear track [mm],Front brake,Rear brake,Type rear suspension,Type front suspension
108367,MAZ,5334,5334,5334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76844,MAZ,537,537,"537 ""Hurricane""",D-12A-525A,38880,525,2200,Disel,12,Diesel fuel,2100,1100,V-type,,-,"14,5",,,3,,8x8,,840,,,55,,,,,,,,,,21600,,8960,2885,1700+2650+1700,2880,500,2200,2200,,,,
108368,MAZ,5429,5429,5429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76877,MAZ,543/7310,543/7310,"543/7310 ""Hurricane""",D-12A-525A,38880,525,2200,Disel,12,Diesel fuel,2100,1100,V-type,,-,"14,5",,,3,,8x8,8x8,,,,60,,43300,,25000,,,,,,23000,3-bedded without sleeping,11657,2975,2200+3300+2200,2950,400,2375,2375,,,Torsion,Torsion
76836,MAZ,5432,543203,543203-222,YAMZ-236BE2,11150,250,1030,Disel,6,Diesel fuel,,,V-type,EURO II,turbine,,,Manual,8,YAMZ-238m,4x2,,350,,,100,"27,2",16200,,,"11,00R20",,6200,10000,,7300,2-berth with 1 sleeping,5950,2500,3550,3900,260,,,,,Spring,Spring
76835,MAZ,5432,54321,54321,"YAMZ-8421,10",17240,360,1510,Disel,8,Diesel fuel,2100,1300-1400,V-type,,turbine,"15,2",,Manual,9,,,4x2,,,,,,16500,44000,,,,,,,,,,,,,,,,,,,
76834,MAZ,5432,54322,54322,YAMZ-238D,14860,330,1225,Disel,8,Diesel fuel,2100,1200-1400,V-type,EURO I,turbine,"15,2",,Manual,,,,,,,,,,,,,,,,,,,2-berth with 1 sleeping,,,,,,,,,,,
76832,MAZ,5432,54323,54323-032,YMZ-238B,14860,300,1180,Disel,8,Diesel fuel,2000,1200-1400,V-type,,turbine,"15,2",,Manual,10,YAMZ-238A,,4x2,350,"9,0",18,100,,16000,34000,26800,"11,00R20",,6000,10000,,7050,2-seater with 2 sleeping,5980,2500,3550,3650,,,,drum,drum,Spring,Spring
76833,MAZ,5432,54323,54323-039,YAMZ-238DE2,14860,330,1225,Disel,8,Diesel fuel,2100,1100-1300,V-type,EURO II,turbine,,,Manual,9,MAZ-543205,,4x2,500,"9,0",18,100,,16000,34000,26800,"11,00R20",,6000,10000,,7050,2-seater with 2 sleeping,5980,2500,3550,3650,,,,drum,drum,Spring,Spring
111272,MAZ,5432,543240,543240-2120,YAMZ-238DE2,14860,330,1225,Disel,8,Diesel fuel,2100,1100-1300,V-type,EURO II,turbine,,,Manual,8,YAMZ-238m,4x2,,350,,,,,16500,38000,,,,6500,10000,,7500,,,,,,,,,,,,
